code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
002413,雷科防务,-3.585,7.53,7.58,8.13,7.4,7.81,51205767.0,5.1448,397295948.0,68.455,2.19,858229.22745,749454.385797
002412,汉森制药,-4.483,15.34,15.91,15.91,15.23,16.06,1371906.0,0.47665,21478709.0,41.73,3.478,454064.0,441523.55
002411,延安必康,-2.808,22.5,22.72,22.98,22.0,23.15,16981222.0,1.41967,382994258.0,38.627,3.651,3447638.79525,2691310.671
002410,广联达,0.14,28.62,27.9,29.64,27.53,28.58,26991307.0,3.045,778916687.0,67.82,10.373,3224191.649418,2536913.24757
002409,雅克科技,2.649,18.6,17.9,19.68,17.5,18.12,12002265.0,6.55342,226283860.0,185.259,2.032,860907.51558,340649.59956
002408,齐翔腾达,-5.017,8.33,8.47,8.84,8.31,8.77,55739252.0,3.19596,476445748.0,17.354,2.07,1478749.307749,1452795.030281
002407,多氟多,-9.733,14.19,15.25,15.49,14.15,15.72,40795622.0,7.50554,605930683.0,34.61,2.771,970483.162539,771283.85598
002406,远东传动,-5.979,6.29,6.54,6.62,6.26,6.69,12149482.0,2.9226400000000003,78555309.0,13.104,1.447,352869.0,261476.418362
002405,四维图新,-3.755,23.58,23.38,25.9,23.08,24.5,91484536.0,8.76826,2253880616.0,107.868,4.468,3087732.575556,2460243.806694
002404,嘉欣丝绸,-3.329,6.68,6.81,6.98,6.66,6.91,6867935.0,1.49607,46847155.0,31.81,2.2439999999999998,385885.992188,306655.921668
002403,爱仕达,-5.658,9.17,9.4,9.54,9.14,9.72,6351937.0,2.16767,59458460.0,18.714,1.456,321244.174517,268708.853875
002402,和而泰,1.283,9.47,9.0,10.28,8.89,9.35,55290616.0,7.65069,535437724.0,44.149,5.085,810400.360012,684385.849457
002401,中远海科,-0.351,11.37,11.2,12.33,11.03,11.41,17208101.0,5.7272,199633516.0,45.389,4.006,344783.88,341626.299108
002400,省广集团,-7.538,3.68,3.84,3.97,3.67,3.98,95594778.0,5.76879,368076756.0,-33.455,1.2429999999999999,641548.063104,609813.413824
002399,海普瑞,3.668,26.0,24.71,27.05,24.43,25.08,17928541.0,1.4375,469389051.0,246.914,5.556,3242724.4304,3242724.4304
002398,建研集团,-6.475,5.2,5.46,5.51,5.2,5.56,11676401.0,2.22225,62672083.0,9.286,1.4849999999999999,360164.57204,273224.06488
002397,梦洁股份,-4.854,4.9,5.12,5.12,4.87,5.15,9883145.0,1.9674300000000002,49449399.0,70.0,1.831,382084.7324,246145.66704
002396,星网锐捷,-3.31,23.66,23.6,25.78,23.25,24.47,36255763.0,6.7251,888551656.0,27.744,3.943,1380041.137748,1275537.177278
002395,双象股份,-4.102,14.26,14.87,14.87,14.25,14.87,1780720.0,0.99589,25909285.0,194.809,2.992,254977.356,254977.356
002394,联发股份,-1.051,11.3,11.27,11.64,11.21,11.42,7713776.0,2.39511,87853691.0,10.153,1.196,380412.24,363931.42617
002393,力生制药,-2.615,26.44,27.0,27.14,26.0,27.15,2924486.0,1.60285,78121966.0,41.313,1.5390000000000001,482410.998848,482410.998848
